Model_Size,Training_Step,Trace_Seed1,Trace_Seed2,Avg_Trace,CKA_Similarity,Midpoint_Loss,Avg_Endpoint_Loss,Loss_Barrier
14m,1000,2292.8154296875,7135.6983642578125,4714.256896972656,0.9107186794281006,1.5636851787567139,13.803489685058594,-12.23980450630188
14m,10000,-7547.87451171875,-28982.599609375,-18265.237060546875,0.923542857170105,1.5247838497161865,14.898900985717773,-13.374117136001587
14m,30000,-803173.890625,144931.244140625,-329121.3232421875,0.919883668422699,1.601743459701538,14.298977851867676,-12.697234392166138
14m,70000,-870811.62890625,-1240326.984375,-1055569.306640625,0.9750038385391235,1.780382752418518,221.6811294555664,-219.9007467031479
14m,100000,766013.40875,-8223031.25,-3728508.9206250003,0.9588823914527893,2.456753730773926,612.3124694824219,-609.855715751648
14m,143000,-23541159.5,51275698.41485507,13867269.457427535,0.8453651666641235,2.082702159881592,893.7006225585938,-891.6179203987122
31m,1000,-25037.55712890625,-5495.3018798828125,-15266.429504394531,0.9531163573265076,1.4086308479309082,14.269306182861328,-12.86067533493042
31m,10000,-2683.65,14718.205928407866,6017.277964203933,0.901268482208252,1.5348215103149414,14.893255710601807,-13.358434200286865
31m,30000,201055.4624875992,3436.8359375,102246.1492125496,0.9128296971321106,1.5347778797149658,13.575100421905518,-12.040322542190552
31m,70000,118635.67288574218,12464.84765625,65550.26027099609,0.9252457022666931,1.4770112037658691,18.250704765319824,-16.773693561553955
31m,100000,-304647.7083333333,-46417.28125,-175532.49479166666,0.9421791434288025,1.8716871738433838,274.3203811645508,-272.4486939907074
31m,143000,-1795517.1666666667,-2067884.9375,-1931701.0520833335,0.9379153251647949,2.419079065322876,680.0141906738281,-677.5951116085052
70m,1000,25449.957914806546,-37081.2578125,-5815.649948846727,0.9685706496238708,1.4094593524932861,13.577451705932617,-12.167992353439331
70m,10000,-16153.2666015625,9913.930286344934,-3119.668157608783,0.9153812527656555,1.3903498649597168,13.68906021118164,-12.298710346221924
70m,30000,-190313.6328125,68874.61865234375,-60719.507080078125,0.9460188150405884,1.404807448387146,13.604722499847412,-12.199915051460266
70m,70000,-661080.4375,-915400.65625,-788240.546875,0.8948757648468018,1.6112737655639648,27.669252395629883,-26.057978630065918
70m,100000,-11497.58487215909,-781668.7734375,-396583.17915482953,0.9716517925262451,1.788538932800293,111.53518867492676,-109.74664974212646
70m,143000,19354.67578125,-2410585.0625,-1195615.193359375,0.9630842804908752,1.9609375,355.4969291687012,-353.5359916687012
160m,1000,-6041.447998046875,-77840.578125,-41941.01306152344,0.9561201930046082,1.5304049253463745,12.912763118743896,-11.382358193397522
160m,10000,14234.738037109375,-2997.044921875,5618.8465576171875,0.9610328674316406,1.5084846019744873,14.120435237884521,-12.611950635910034
160m,30000,-27182.416015625,-40600.7431640625,-33891.57958984375,0.9489794373512268,1.5866087675094604,13.76632308959961,-12.179714322090149
160m,70000,641.125,146475.22283779047,73558.17391889523,0.9641681909561157,1.693682312965393,13.651179790496826,-11.957497477531433
160m,100000,-85466.215625,191344.4140625,52939.09921875,0.9539712071418762,1.7474467754364014,24.16499900817871,-22.41755223274231
160m,143000,-1396145.96875,-277742.8984375,-836944.43359375,0.9392227530479431,2.3692870140075684,98.73374938964844,-96.36446237564087
410m,1000,-147295.96875,-210033.4140625,-178664.69140625,0.9734301567077637,1.5962039232254028,13.567868709564209,-11.971664786338806
410m,10000,-6573.666748046875,14957.399123418898,4191.8661876860115,0.949432909488678,1.537968635559082,14.441165447235107,-12.903196811676025
410m,30000,417.4423828125,16587.811233875364,8502.626808343932,0.9055508375167847,1.6131656169891357,13.837973594665527,-12.224807977676392
410m,70000,-15649.5146484375,-3035.1873779296875,-9342.351013183594,0.9456906914710999,1.7556020021438599,13.62152624130249,-11.86592423915863
410m,100000,-20849.387834821428,14550.690104166666,-3149.3488653273807,0.9436809420585632,1.8516530990600586,13.5060715675354,-11.654418468475342
410m,143000,-20677.892578125,-106059.87890625,-63368.8857421875,0.944446861743927,1.645205020904541,13.421837329864502,-11.776632308959961
